Место;Название;Год;Режисер;Жанр
172;Бегущий по лезвию;1982;Ридли Скотт;научная фантастика, триллер, драма
173;Сталкер;1979;Андрей Тарковский;драма, научная фантастика
174;Убить Билла. Фильм 1;2003;Квентин Тарантино;боевик, триллер, детектив
175;Мост через реку Квай;1957;Дэвид Лин;приключение, драма, военный фильм
176;Комната;2015;Ленни Абрахамсон;драма
177;Фарго;1996;Братья Коэн;детектив, триллер, драма
178;Воспоминания об убийстве;2003;Пон Чжун Хо;драма, мистический фильм
179;Токийская повесть;1953;Ясудзиро Одзу;драма
180;Третий человек;1949;Кэрол Рид;нуар, триллер, мистический фильм
181;Гран Торино;2008;Клинт Иствуд;драма
182;В порту;1954;Элиа Казан;детектив, драма
183;Дикие истории;2014;Шифрон, Дамиан;комедия, драма, триллер
184;Охотник на оленей;1978;Майкл Чимино;драма, военный фильм
185;Клаус;2019;Джинко Гото, Серхио Паблос, Марисо Роман;мультфильм, приключение, комедия
186;Во имя отца;1993;Джим Шеридан;биография, драма, триллер
187;Мэри и Макс;2009;Адам Эллиот;приключение, комедия, драма
188;Исчезнувшая;2014;Дэвид Финчер;драма, мистический фильм, триллер
189;Отель «Гранд Будапешт»;2014;Уэс Андерсон;комедия
190;По соображениям совести;2016;Мел Гибсон;биография, драма, исторический фильм
191;Стреляйте в пианиста;2018;Шрирам Рагхаван;детектив, триллер
192;Перед рассветом;1995;Ричард Линклейтер;драма, мелодрама
193;Поймай меня, если сможешь;2002;Стивен Спилберг;биография, детектив, драма
194;Большой Лебовски;1998;Братья Коэн;комедия, детектив, мистический фильм
195;Персона;1966;Ингмар Бергман;драма, фэнтези
196;Быть или не быть;1942;Эрнст Любич;комедия, военный фильм
197;Пленницы;2013;Дени Вильнёв;детектив, драма, триллер
198;Бандит;1996;Явуз Тургул;детектив, драма, триллер
199;Шерлок-младший;1924;Бастер Китон;боевик, комедия, романтическая комедия
200;Генерал;1927;Клайд Брукман, Бастер Китон;комедия, мелодрама
201;Как приручить дракона;2010;Крис Сандерс, Дин Деблуа;мультфильм, приключение
202;Ford против Ferrari;2019;Джеймс Мэнголд;фильм о спорте, биография, драма
203;Мистер Смит едет в Вашингтон;1939;Фрэнк Капра;драма
204;12 лет рабства;2013;Стив Маккуин;биография, драма, исторический фильм
205;Барри Линдон;1975;Стэнли Кубрик;драма, мелодрама, военный фильм
206;Безумный Макс: Дорога ярости;2015;Джордж Миллер;боевик, приключение, научная фантастика
207;Малышка на миллион;2004;Клинт Иствуд;драма, фильм о спорте
208;Останься со мной;1986;Роб Райнер;приключение, драма
209;Телесеть;1975;Сидни Люмет;драма
210;Хладнокровный Люк;1967;Стюарт Розенберг;детектив, драма
211;Общество мёртвых поэтов;1989;Питер Уир;комедия, драма
212;Бен-Гур;1959;Уильям Уайлер;боевик, приключение, драма
213;Хатико: Самый верный друг;2009;Лассе Халльстрём;драма, семейный фильм
214;Гарри Поттер и Дары Смерти. Часть 2;2011;Дэвид Йейтс;фэнтези, приключение, боевик
215;Взвод;1986;Оливер Стоун;боевик, драма, военный фильм
216;В диких условиях;2007;Шон Пенн;приключение, биография, драма
217;Логан;2017;Джеймс Мэнголд;боевик, драма, научная фантастика
218;Плата за страх;1953;Анри-Жорж Клузо;приключение, драма, триллер
219;Житие Брайана по Монти Пайтону;1979;Терри Джонс;комедия
220;Гонка;2013;Рон Ховард;фильм-биография, драма, фильм о спорте
221;Служанка;2016;Пак Чхан Ук;драма, мелодрама, триллер
222;Страсти Жанны д’Арк;1928;Карл Теодор Дрейер;биография, драма, исторический фильм
223;Четыреста ударов;1959;Франсуа Трюффо;детектив, драма
224;Андрей Рублёв;1966;Андрей Тарковский;биография, драма, исторический фильм
225;Отель Руанда;2004;Терри Джордж;биография, драма, исторический фильм
226;В центре внимания;2015;Томас Маккарти;биография, драма, исторический фильм
227;Сука любовь;2000;Алехандро Гонсалес Иньярриту;драма, триллер
228;Ненависть;1995;Матьё Кассовиц;драма
229;Мужские разборки;1955;Жюль Дассен;детектив, драма, триллер
230;Навсикая из Долины ветров;1984;Хаяо Миядзаки;драма, приключения, постапокалиптика
231;Рокки;1976;Джон Эвилдсен;фильм о спорте, драма, мелодрама
232;Банды Вассейпура;2012;Анураг Кашьяп;боевик, детектив, драма
233;Корпорация монстров;2001;Пит Доктер, Дэвид Сильверман;мультфильм, комедия
234;Ребекка;1940;Альфред Хичкок;мистический фильм, мелодрама, триллер
235;Цвет шафрана;2006;Ракеш Омпракаш Мехра;драма, исторический фильм
236;Перед закатом;2004;Ричард Линклейтер;драма, мелодрама
237;Портрет девушки в огне;2019;Селин Сьямма;драма, мелодрама
238;Любовное настроение;2000;Вонг Карвай;драма
239;Париж, Техас;1984;Вим Вендерс;драма
240;Это случилось однажды ночью;1934;Фрэнк Капра;комедия, мелодрама
241;Видимость;2015;Нишикант Камат;драма, мистический фильм, триллер
242;Невидимый гость;2016;Ориол Паоло;детектив, драма, мистический фильм
243;Принцесса-невеста;1987;Роб Райнер;приключение, комедия, семейный фильм
244;Прислуга;2011;Тейт Тейлор;драма
245;Цирк;1928;Чарльз Чаплин;комедия, мелодрама
246;Битва за Алжир;1966;Джилло Понтекорво;детектив, драма, исторический фильм
247;Терминатор;1984;Джеймс Кэмерон;научная фантастика, боевик
248;Аладдин;1992;Джон Маскер, Рон Клементс;мультфильм, приключение, комедия
249;Зимняя спячка;2014;Нури Бильге Джейлан;драма
250;Форма голоса;2016;Наоко Ямада;мультфильм, драма, семейный фильм
